date,open,high,low,close,median,price_change
2017-09-12,4281.99,4377.65,3943.0,3945.0,4186.0,down
2017-09-13,3951.62,4044.94,3720.01,3797.99,3886.675,down
2017-09-14,3798.0,3899.82,3210.0,3354.53,3463.04,down
2017-09-15,3359.95,3820.0,2972.01,3759.48,3533.99,up
2017-09-16,3765.08,3872.9,3500.0,3637.5,3649.11,down
2017-09-17,3637.55,3810.25,3463.0,3770.0,3679.975,up
2017-09-18,3770.0,4122.7,3732.87,3991.14,3995.0,up
2017-09-19,3991.13,4042.05,3848.35,3879.67,3934.42,down
2017-09-20,3868.18,4050.0,3810.25,3825.0,3931.0,down
2017-09-21,3825.0,3914.0,3573.0,3697.16,3688.0,down
2017-09-22,3697.15,3761.84,3514.0,3614.87,3598.06,down
2017-09-23,3614.88,3810.25,3614.88,3769.26,3751.85,up
2017-09-24,3766.16,3793.73,3615.0,3763.86,3684.1,down
2017-09-25,3766.48,3968.59,3740.0,3899.35,3905.1549999999997,up
2017-09-26,3899.99,3970.0,3850.61,3933.56,3912.425,up
2017-09-27,3934.96,4226.73,3922.89,4195.0,4084.9,up
2017-09-28,4195.0,4270.01,4024.0,4059.01,4174.73,down
2017-09-29,4062.26,4227.62,4022.02,4190.72,4164.94,up
2017-09-30,4185.73,4349.0,4180.55,4291.36,4289.78,up
2017-10-01,4287.06,4419.0,4216.0,4381.33,4297.62,up
2017-10-02,4374.12,4453.0,4352.0,4416.3,4396.75,up
2017-10-03,4407.27,4413.92,4218.0,4299.99,4286.55,down
2017-10-04,4300.0,4343.0,4164.84,4186.32,4214.97,down
2017-10-05,4182.25,4358.97,4137.96,4320.0,4303.96,up
2017-10-06,4320.0,4425.0,4298.01,4359.01,4371.0,up
2017-10-07,4360.0,4463.0,4312.82,4439.85,4367.6,up
2017-10-08,4439.84,4624.72,4404.5,4617.07,4542.69,up
2017-10-09,4623.19,4865.0,4541.0,4784.91,4705.0,up
2017-10-10,4778.0,4909.97,4700.0,4728.24,4802.58,down
2017-10-11,4721.27,4869.78,4706.05,4854.6,4818.83,up
2017-10-12,4854.27,5846.43,4830.44,5719.0,5260.0,up
2017-10-13,5719.0,5802.98,5380.0,5660.0,5626.27,down
2017-10-14,5664.0,5830.0,5558.26,5764.0,5700.75,up
2017-10-15,5764.0,5788.4,5415.0,5596.23,5540.0,down
2017-10-16,5596.23,5807.11,5548.0,5631.74,5687.7,up
2017-10-17,5630.95,5696.0,5450.02,5493.3,5582.5,down
2017-10-18,5492.7,5643.0,5101.36,5624.88,5370.01,up
2017-10-19,5625.0,5735.14,5546.03,5681.12,5681.21,up
2017-10-20,5681.12,6118.0,5589.8,6099.0,5962.23,up
2017-10-21,6098.79,6180.0,5871.0,5944.96,6070.05,down
2017-10-22,5944.94,6039.79,5700.0,5962.84,5866.96,up
2017-10-23,5963.21,6045.34,5534.32,5658.82,5806.89,down
2017-10-24,5648.47,5767.0,5366.0,5550.0,5643.860000000001,down
2017-10-25,5550.0,5788.4,5424.99,5770.99,5560.36,up
2017-10-26,5779.79,5994.06,5683.0,5922.14,5900.0,up
2017-10-27,5925.46,5929.99,5674.06,5725.01,5760.01,down
2017-10-28,5725.02,5806.95,5646.18,5749.0,5718.63,up
2017-10-29,5748.98,6316.85,5738.57,6135.89,6035.465,up
2017-10-30,6145.0,6229.77,6024.03,6130.0,6130.4,down
2017-10-31,6130.0,6449.78,6072.81,6404.33,6352.95,up
2017-11-01,6408.37,6915.26,6340.01,6850.59,6575.0,up
2017-11-02,6854.47,7354.1,6700.0,7199.75,6992.0,up
2017-11-03,7200.13,7500.0,6994.0,7198.98,7280.0,down
2017-11-04,7203.03,7569.9,7083.52,7400.7,7345.07,up
2017-11-05,7400.7,7590.0,7073.95,7188.5,7421.37,down
2017-11-06,7188.5,7421.39,6922.07,7200.0,7135.0,up
2017-11-07,7200.0,7379.0,6956.88,7377.96,7129.1,up
2017-11-08,7377.97,7888.0,7080.01,7331.01,7408.23,down
2017-11-09,7340.01,7450.0,7061.2,7320.49,7189.99,down
2017-11-10,7319.97,7325.37,6429.44,6809.68,6778.99,down
2017-11-11,6808.89,6814.87,6037.72,6042.0,6405.02,down
2017-11-12,6036.0,6488.88,5555.55,6073.7,6029.99,up
2017-11-13,6073.7,6775.75,6021.94,6628.21,6510.0,up
2017-11-14,6635.34,6915.59,6466.88,6848.06,6589.0,up
2017-11-15,6848.1,7350.0,6820.01,7224.57,7175.01,up
2017-11-16,7224.57,7997.0,7162.19,7888.82,7725.25,up
2017-11-17,7889.91,7993.93,7431.54,7714.34,7750.99,down
2017-11-18,7713.24,7858.0,7612.05,7792.4,7748.44,up
2017-11-19,7793.13,8087.35,7675.0,7963.58,7915.31,up
2017-11-20,7961.02,8269.99,7770.0,7855.75,8116.67,down
2017-11-21,7862.32,8354.46,7837.84,8168.17,8158.695,up
2017-11-22,8158.47,8310.89,8075.01,8210.59,8209.94,up
2017-11-23,8214.91,8270.0,7876.0,8066.52,8140.51,down
2017-11-24,8066.0,8340.0,8032.24,8183.56,8200.0,up
2017-11-25,8187.8,8870.85,8160.9,8852.47,8597.66,up
2017-11-26,8852.47,9597.78,8758.34,9550.01,9184.99,up
2017-11-27,9564.4,9777.0,9267.0,9777.0,9581.46,up
2017-11-28,9776.0,10438.0,9723.64,10424.95,9890.0,up
2017-11-29,10417.9,11395.0,9250.0,10543.97,10400.5,up
2017-11-30,10511.52,10581.95,9000.0,9872.94,9750.0,down
2017-12-01,9872.94,11082.0,9370.11,10844.72,10555.61,up
2017-12-02,10844.06,11200.0,10637.69,11118.17,10924.8,up
2017-12-03,11116.6,11800.01,10513.16,11493.7,11340.3,up
2017-12-04,11493.69,11665.0,10850.0,11500.0,11355.32,up
2017-12-05,11494.64,12276.0,11384.25,12200.43,11718.96,up
2017-12-06,12200.42,14095.0,12075.02,13999.0,12870.0,up
2017-12-07,13999.0,16666.66,13820.0,15470.0,15344.24,up
2017-12-08,15470.0,16314.02,13482.42,15147.84,15167.13,down
2017-12-09,15149.96,15550.0,12701.05,13617.09,14199.8,down
2017-12-10,13617.09,15994.99,13011.0,15809.15,14838.0,up
2017-12-11,15779.17,17270.0,15779.17,16070.0,16380.01,up
2017-12-12,16069.94,16750.0,15967.29,16580.5,16537.92,up
